ThTs3s2s,0.56,122485
TdTs3s2s,0.56,122968
TcTs3s2s,0.56,122968
JhJs3s2s,1,142939
JdJs3s2s,1,142626
JcJs3s2s,1,142626
QhAs3s2s,1,183316
KhAs3s2s,1,183134
3dAs3s2s,0.515,182106
QdAs3s2s,1,182668
KdAs3s2s,1,183490
3cAs3s2s,0.515,182106
QcAs3s2s,1,182668
KcAs3s2s,1,183490
4h3h3s2s,1,104509
5h3h3s2s,0.76,104419
7h3h3s2s,0.99,103189
8h3h3s2s,1,102909
9h3h3s2s,1,102992
Th3h3s2s,1,102050
Jh3h3s2s,1,101827
4d3h3s2s,1,104056
5d3h3s2s,1,104326
4c3h3s2s,1,104056
5c3h3s2s,1,104326
5h4h3s2s,0.295,104356
4d4h3s2s,1,103800
4c4h3s2s,1,103800
6h5h3s2s,1,102786
3d5h3s2s,1,104104
5d5h3s2s,1,104161
3c5h3s2s,1,104104
5c5h3s2s,1,104161
Ah7h3s2s,1,97442
Ah8h3s2s,1,94388
Ah9h3s2s,1,96380
TdTh3s2s,1,100146
TcTh3s2s,1,100146
JdJh3s2s,1,99990
JcJh3s2s,1,99990
5d3d3s2s,0.0014,102881
8d3d3s2s,1,101993
9d3d3s2s,1,103053
Td3d3s2s,1,101673
Jd3d3s2s,1,101846
5c3d3s2s,0.0014,102881
5d4d3s2s,0.385,103280
3c5d3s2s,0.0014,102881
Ad8d3s2s,1,95591
Td9d3s2s,0.92,101350
Ad9d3s2s,0.635,97305
TcTd3s2s,1,100655
JcJd3s2s,1,100306
5c3c3s2s,0.0014,102881
7c3c3s2s,0.99,103364
8c3c3s2s,1,101993
9c3c3s2s,1,103053
Tc3c3s2s,1,101673
Jc3c3s2s,1,101846
5c4c3s2s,0.385,103280
7c5c3s2s,0.5503,103546
Ac7c3s2s,1,97726
Ac8c3s2s,1,95591
Tc9c3s2s,0.92,101350
Ac9c3s2s,0.635,97305
5d5s4s2s,1,115194
5c5s4s2s,1,115194
6h6s4s2s,0.345,106466
6d6s4s2s,1,106445
ThTs4s2s,1,122745
TdTs4s2s,1,123567
TcTs4s2s,1,123567
JhJs4s2s,1,142570
JdJs4s2s,1,142519
JcJs4s2s,1,142519
KhAs4s2s,0.865,181982
KdAs4s2s,1,182306
KcAs4s2s,1,182306
4h3h4s2s,0.64,105376
5h3h4s2s,1,106150
5h4h4s2s,0.49,105702
7h4h4s2s,1,104329
8h4h4s2s,1,103265
9h4h4s2s,1,104104
Th4h4s2s,1,103169
Jh4h4s2s,1,102632
5d4h4s2s,0.55,105240
5c4h4s2s,0.55,105240
7h5h4s2s,1,104643
8h5h4s2s,1,103967
Th5h4s2s,0.91,103867
Jh5h4s2s,1,103662
5d5h4s2s,0.835,105318
5c5h4s2s,0.835,105318
8h6h4s2s,1,101914
Ah7h4s2s,1,98673
7c7h4s2s,0.0079,105635
Th8h4s2s,0.0031,105041
Ah8h4s2s,1,96304
8d8h4s2s,0.99,102678
8c8h4s2s,0.99,102678
Ah9h4s2s,1,98656
9d9h4s2s,0.09,105072
9c9h4s2s,0.09,105072
TdTh4s2s,1,101750
TcTh4s2s,1,101750
JdJh4s2s,1,101224
JcJh4s2s,1,101224
8d4d4s2s,1,102936
9d4d4s2s,1,104512
Td4d4s2s,1,103104
Jd4d4s2s,1,102755
8d5d4s2s,1,103239
8d6d4s2s,1,102613
Ad8d4s2s,1,97142
8c8d4s2s,0.99,102479
Td9d4s2s,1,102701
Ad9d4s2s,1,99040
TcTd4s2s,1,102025
JcJd4s2s,1,101781
7c4c4s2s,1,104601
8c4c4s2s,1,102936
9c4c4s2s,1,104512
Tc4c4s2s,1,103104
Jc4c4s2s,1,102755
7c5c4s2s,1,104701
8c5c4s2s,1,103239
Ac7c4s2s,1,99407
Ac8c4s2s,1,97142
Tc9c4s2s,1,102701
Ac9c4s2s,1,99040
4h6s5s2s,1,108761
6h6s5s2s,0.71,107415
4d6s5s2s,1,108465
6d6s5s2s,0.97,107185
4c6s5s2s,1,108465
7h7s5s2s,1,116261
5d7s5s2s,0.89,116611
5c7s5s2s,0.89,116611
7c7s5s2s,1,115595
9d9s5s2s,0.055,116974
9c9s5s2s,0.055,116974
ThTs5s2s,1,123113
TdTs5s2s,1,123238
TcTs5s2s,1,123238
JhJs5s2s,1,141198
JdJs5s2s,1,141520
JcJs5s2s,1,141520
9hAs5s2s,0.02,177907
KhAs5s2s,0.1046,180872
8h4h5s2s,0.98,105945
7h5h5s2s,1,106701
8h5h5s2s,1,104928
9h5h5s2s,1,106479
8d5h5s2s,0.66,105122
7c5h5s2s,1,107109
8c5h5s2s,0.66,105122
8h6h5s2s,1,103706
8d6h5s2s,1,104039
8c6h5s2s,1,104039
8h7h5s2s,1,105084
9h7h5s2s,1,106626
5d7h5s2s,1,106842
5c7h5s2s,1,106842
7c7h5s2s,1,106947
9h8h5s2s,1,104816
Th8h5s2s,0.64,103779
Jh8h5s2s,1,103236
5d8h5s2s,0.66,104987
6d8h5s2s,1,103887
8d8h5s2s,1,104143
5c8h5s2s,0.66,104987
8c8h5s2s,1,104143
9d9h5s2s,1,106730
9c9h5s2s,1,106730
TdTh5s2s,0.995,103327
TcTh5s2s,0.995,103327
8d4d5s2s,1,104873
8d5d5s2s,1,104683
9d5d5s2s,1,106308
Td5d5s2s,1,105014
7c5d5s2s,1,106675
8c5d5s2s,0.66,104683
8d6d5s2s,1,103955
8c6d5s2s,1,103955
9d8d5s2s,1,104516
Td8d5s2s,0.64,104174
Jd8d5s2s,1,103735
Ad8d5s2s,1,99168
5c8d5s2s,0.66,104683
8c8d5s2s,1,104043
Td9d5s2s,1,105104
Jd9d5s2s,1,105011
9c9d5s2s,1,107033
TcTd5s2s,1,103876
7c4c5s2s,1,106612
8c4c5s2s,1,104873
7c5c5s2s,1,106675
8c5c5s2s,1,104683
9c5c5s2s,1,106308
Tc5c5s2s,1,105014
8c7c5s2s,1,105075
9c7c5s2s,1,106996
Ac7c5s2s,1,101086
9c8c5s2s,1,104516
Tc8c5s2s,0.64,104174
Jc8c5s2s,1,103735
Ac8c5s2s,1,99168
Tc9c5s2s,1,105104
Jc9c5s2s,1,105011
7h7s6s2s,1,107948
JhJs6s2s,1,137620
JdJs6s2s,1,138169
JcJs6s2s,1,138169
6hAs6s2s,1,182663
6dAs6s2s,1,182900
5h3h6s2s,0.525,101873
7h4h6s2s,1,101480
8h4h6s2s,1,99273
7h5h6s2s,1,101716
8h5h6s2s,1,99379
9h5h6s2s,1,101509
Th5h6s2s,0.16,99384
4d5h6s2s,0.99,101771
5d5h6s2s,1,101813
8d5h6s2s,0.88,99991
4c5h6s2s,0.99,101771
5c5h6s2s,1,101813
8c5h6s2s,0.88,99991
8d6h6s2s,0.835,97817
7c6h6s2s,1,99545
8c6h6s2s,0.835,97817
8h7h6s2s,1,99079
9h7h6s2s,1,101295
Ah7h6s2s,1,95795
6d7h6s2s,0.965,99632
7c7h6s2s,1,101891
9h8h6s2s,1,98783
Th8h6s2s,1,96736
Jh8h6s2s,0.24,96359
Ah8h6s2s,1,92835
5d8h6s2s,0.88,99423
