AdKh3h2s,0.99,96929
AcKh3h2s,0.99,96929
KdAh3h2s,1,95093
AdAh3h2s,1,74471
KcAh3h2s,1,95093
AcAh3h2s,1,74471
AcAd3h2s,1,74740
AdKh4h2s,1,96529
AcKh4h2s,1,96529
QdAh4h2s,1,81992
KdAh4h2s,1,94903
AdAh4h2s,1,74217
QcAh4h2s,1,81992
KcAh4h2s,1,94903
AcAh4h2s,1,74217
AcAd4h2s,1,74615
AhKh5h2s,0.99,95931
AdKh5h2s,1,96430
AcKh5h2s,1,96430
QdAh5h2s,1,82020
KdAh5h2s,1,94638
AdAh5h2s,1,74192
QcAh5h2s,1,82020
KcAh5h2s,1,94638
AcAh5h2s,1,74192
AdKd5h2s,0.355,95388
AcAd5h2s,1,74564
AcKc5h2s,0.355,95388
AdAh6h2s,1,80733
AcAh6h2s,1,80733
AcAd6h2s,1,81312
KdAh7h2s,1,95169
AdAh7h2s,1,74314
KcAh7h2s,1,95169
AcAh7h2s,1,74314
AcAd7h2s,1,74667
TdAh8h2s,1,75503
JdAh8h2s,0.36,75480
QdAh8h2s,0.73,94799
AdAh8h2s,1,78545
TcAh8h2s,1,75503
JcAh8h2s,0.36,75480
QcAh8h2s,0.73,94799
AcAh8h2s,1,78545
AdTd8h2s,1,75706
AcAd8h2s,1,79094
AcTc8h2s,1,75706
TdTh9h2s,1,902
JdTh9h2s,0.0097,344
TcTh9h2s,1,902
JcTh9h2s,0.0097,344
TdJh9h2s,0.98,362
JdJh9h2s,1,3885
TcJh9h2s,0.98,362
JcJh9h2s,1,3885
TdKh9h2s,0.0246,94558
AdKh9h2s,1,96902
TcKh9h2s,0.0246,94558
AcKh9h2s,1,96902
9dAh9h2s,0.95,1195
TdAh9h2s,1,213
JdAh9h2s,1,223
QdAh9h2s,1,82301
KdAh9h2s,1,94967
AdAh9h2s,1,74392
9cAh9h2s,0.95,1195
TcAh9h2s,1,213
JcAh9h2s,1,223
QcAh9h2s,1,82301
KcAh9h2s,1,94967
AcAh9h2s,1,74392
Ad9d9h2s,1,2027
JdTd9h2s,0.54,542
AdTd9h2s,1,749
AdJd9h2s,1,730
AcAd9h2s,1,74739
Ac9c9h2s,1,2027
JcTc9h2s,0.54,542
AcTc9h2s,1,749
AcJc9h2s,1,730
QhJhTh2s,0.43,78124
AhJhTh2s,1,1
9dJhTh2s,0.54,345
TdJhTh2s,1,625
JdJhTh2s,1,1923
QdJhTh2s,1,76511
AdJhTh2s,1,411
9cJhTh2s,0.54,345
TcJhTh2s,1,625
JcJhTh2s,1,1923
QcJhTh2s,1,76511
AcJhTh2s,1,411
AhQhTh2s,1,81858
JdQhTh2s,1,78084
AdQhTh2s,1,82022
JcQhTh2s,1,78084
AcQhTh2s,1,82022
8dAhTh2s,1,74447
9dAhTh2s,1,68
TdAhTh2s,1,558
JdAhTh2s,1,75
QdAhTh2s,1,80154
AdAhTh2s,1,72385
8cAhTh2s,1,74447
9cAhTh2s,1,68
TcAhTh2s,1,558
JcAhTh2s,1,75
QcAhTh2s,1,80154
AcAhTh2s,1,72385
Ad8dTh2s,1,74905
Td9dTh2s,1,926
Jd9dTh2s,0.98,399
Ad9dTh2s,1,599
JdTdTh2s,1,732
AdTdTh2s,1,940
JcTdTh2s,0.04,732
QdJdTh2s,1,76523
AdJdTh2s,1,450
TcJdTh2s,0.04,732
JcJdTh2s,1,2160
AdQdTh2s,1,80376
AcAdTh2s,1,72703
Ac8cTh2s,1,74905
Tc9cTh2s,1,926
Jc9cTh2s,0.98,399
Ac9cTh2s,1,599
JcTcTh2s,1,732
AcTcTh2s,1,940
QcJcTh2s,1,76523
AcJcTh2s,1,450
AcQcTh2s,1,80376
AhQhJh2s,1,81569
TdQhJh2s,1,78195
JdQhJh2s,1,77510
AdQhJh2s,1,81809
TcQhJh2s,1,78195
JcQhJh2s,1,77510
AcQhJh2s,1,81809
8dAhJh2s,0.01,73994
9dAhJh2s,1,35
TdAhJh2s,1,40
JdAhJh2s,1,3141
QdAhJh2s,1,79816
AdAhJh2s,1,72414
8cAhJh2s,0.01,73994
9cAhJh2s,1,35
TcAhJh2s,1,40
JcAhJh2s,1,3141
QcAhJh2s,1,79816
AcAhJh2s,1,72414
Ad8dJh2s,0.1579,74943
Jd9dJh2s,1,3956
Ad9dJh2s,1,600
JdTdJh2s,1,2258
QdTdJh2s,1,76554
AdTdJh2s,1,410
TcTdJh2s,0.04,725
JcTdJh2s,1,2258
AdJdJh2s,1,3688
TcJdJh2s,1,2258
AcJdJh2s,1,3688
AdQdJh2s,1,80214
JcAdJh2s,1,3688
AcAdJh2s,1,72837
Ac8cJh2s,0.1579,74943
Jc9cJh2s,1,3956
Ac9cJh2s,1,600
JcTcJh2s,1,2258
QcTcJh2s,1,76554
AcTcJh2s,1,410
AcJcJh2s,1,3688
AcQcJh2s,1,80214
4dAhQh2s,0.98,84288
5dAhQh2s,1,84215
9dAhQh2s,1,84346
TdAhQh2s,1,81933
JdAhQh2s,1,81815
AdAhQh2s,1,85906
4cAhQh2s,0.98,84288
5cAhQh2s,1,84215
9cAhQh2s,1,84346
TcAhQh2s,1,81933
JcAhQh2s,1,81815
AcAhQh2s,1,85906
JdTdQh2s,1,78438
AdTdQh2s,1,82276
AdJdQh2s,1,82075
AcAdQh2s,1,86351
JcTcQh2s,1,78438
AcTcQh2s,1,82276
AcJcQh2s,1,82075
3dAhKh2s,1,96617
4dAhKh2s,1,96677
5dAhKh2s,1,96407
9dAhKh2s,1,96535
AdAhKh2s,1,96393
3cAhKh2s,1,96617
4cAhKh2s,1,96677
5cAhKh2s,1,96407
