6h3h3s2s,0.98,102593
Ah3h3s2s,1,98480
6h4h3s2s,1,102793
Ah4h3s2s,1,98279
3d4h3s2s,1,103416
3c4h3s2s,1,103416
Ah5h3s2s,1,98369
Ah6h3s2s,1,96474
6d6h3s2s,0.4246,101432
KdKh3s2s,1,100256
KcKh3s2s,1,100256
3dAh3s2s,0.2622,97470
3cAh3s2s,0.2622,97470
4d3d3s2s,1,103322
5d3d3s2s,0.0086,103193
4c3d3s2s,1,103322
5c3d3s2s,0.0086,103193
5d4d3s2s,0.615,103285
6d4d3s2s,1,102326
Ad4d3s2s,1,98359
3c4d3s2s,1,103322
4c4d3s2s,0.83,103329
6d5d3s2s,1,102165
Ad5d3s2s,1,98377
3c5d3s2s,0.0086,103193
5c5d3s2s,0.48,103074
Ad6d3s2s,0.095,97176
4c3c3s2s,1,103322
5c3c3s2s,0.0086,103193
5c4c3s2s,0.615,103285
Ac4c3s2s,1,98359
Ac5c3s2s,1,98377
KhAs4s2s,0.135,181918
4h3h4s2s,0.36,105319
6h3h4s2s,1,104605
Ah3h4s2s,1,100362
4d3h4s2s,1,105241
4c3h4s2s,1,105241
5h4h4s2s,0.51,105696
6h4h4s2s,1,103936
Ah4h4s2s,1,100022
3d4h4s2s,1,105089
5d4h4s2s,0.45,105226
6d4h4s2s,1,103789
3c4h4s2s,1,105089
5c4h4s2s,0.45,105226
6h5h4s2s,1,104665
Ah5h4s2s,1,99783
4d5h4s2s,1,105103
5d5h4s2s,0.165,105292
6d5h4s2s,1,104619
Ad5h4s2s,0.43,100826
4c5h4s2s,1,105103
5c5h4s2s,0.165,105292
Ac5h4s2s,0.43,100826
7h6h4s2s,1,103374
Ah6h4s2s,1,98216
4d6h4s2s,1,103649
5d6h4s2s,1,103980
6d6h4s2s,1,102922
4c6h4s2s,1,103649
5c6h4s2s,1,103980
KdKh4s2s,1,101737
KcKh4s2s,1,101737
4dAh4s2s,0.36,99212
5dAh4s2s,0.43,99668
4cAh4s2s,0.36,99212
5cAh4s2s,0.43,99668
4d3d4s2s,1,104619
5d3d4s2s,1,104847
6d3d4s2s,1,104036
Ad3d4s2s,1,100215
3c3d4s2s,0.8575,104755
4c3d4s2s,1,104619
5d4d4s2s,1,104698
6d4d4s2s,1,103540
3c4d4s2s,1,104619
5c4d4s2s,1,104698
6d5d4s2s,1,103946
Ad5d4s2s,1,99924
4c5d4s2s,1,104698
5c5d4s2s,1,104744
Ac5d4s2s,0.43,99924
Ad6d4s2s,0.135,98739
4c6d4s2s,1,103540
