ThTs3s2s,0.56,10958
TdTs3s2s,0.56,11736
TcTs3s2s,0.56,11736
JhJs3s2s,1,110947
JdJs3s2s,1,110742
JcJs3s2s,1,110742
4h3h3s2s,1,-35535
5h3h3s2s,0.76,-37460
7h3h3s2s,0.396,-41761
8h3h3s2s,1,-31622
Th3h3s2s,1,-35530
Jh3h3s2s,1,-36590
4d3h3s2s,1,-37925
5d3h3s2s,1,-36959
4c3h3s2s,1,-37925
5c3h3s2s,1,-36959
5h4h3s2s,0.295,-35442
4d4h3s2s,1,-38477
4c4h3s2s,1,-38477
6h5h3s2s,1,-33909
3d5h3s2s,1,-37861
5d5h3s2s,1,-38241
3c5h3s2s,1,-37861
5c5h3s2s,1,-38241
Ah8h3s2s,0.11,-42630
TdTh3s2s,1,-36886
TcTh3s2s,1,-36886
JdJh3s2s,1,-36506
JcJh3s2s,1,-36506
8d3d3s2s,1,-37682
Td3d3s2s,1,-40407
Jd3d3s2s,1,-39493
5d4d3s2s,0.385,-40570
TcTd3s2s,1,-38025
JcJd3s2s,1,-38743
8c3c3s2s,1,-37682
Tc3c3s2s,1,-40407
Jc3c3s2s,1,-39493
5c4c3s2s,0.385,-40570
5d5s4s2s,1,-12241
5c5s4s2s,1,-12241
6h6s4s2s,0.345,-22600
6d6s4s2s,1,-23128
ThTs4s2s,1,10313
TdTs4s2s,1,12503
TcTs4s2s,1,12503
JhJs4s2s,1,109677
JdJs4s2s,1,110714
JcJs4s2s,1,110714
4h3h4s2s,0.64,-36888
5h3h4s2s,1,-35457
5h4h4s2s,0.49,-35381
8h4h4s2s,1,-35518
Th4h4s2s,1,-36664
Jh4h4s2s,1,-37997
5d4h4s2s,0.55,-37620
5c4h4s2s,0.55,-37620
7h5h4s2s,0.89,-41092
8h5h4s2s,1,-33006
Th5h4s2s,0.91,-35567
Jh5h4s2s,1,-34875
5d5h4s2s,0.835,-38841
5c5h4s2s,0.835,-38841
8h6h4s2s,1,-32685
Th8h4s2s,0.0031,-15057
Ah8h4s2s,0.455,-41674
8d8h4s2s,0.99,-31298
8c8h4s2s,0.99,-31298
TdTh4s2s,1,-37194
TcTh4s2s,1,-37194
JdJh4s2s,1,-38046
JcJh4s2s,1,-38046
8d4d4s2s,1,-38916
Td4d4s2s,1,-40432
Jd4d4s2s,0.5,-41633
8d5d4s2s,1,-37899
8d6d4s2s,1,-31371
8c8d4s2s,0.99,-33435
Td9d4s2s,0.16,-42059
TcTd4s2s,1,-39767
JcJd4s2s,1,-39042
8c4c4s2s,1,-38916
Tc4c4s2s,1,-40432
Jc4c4s2s,0.5,-41633
8c5c4s2s,1,-37899
Tc9c4s2s,0.16,-42059
4h6s5s2s,1,-25656
6h6s5s2s,0.71,-23843
4d6s5s2s,1,-28057
6d6s5s2s,0.97,-25124
4c6s5s2s,1,-28057
7h7s5s2s,1,-17162
5d7s5s2s,0.89,-14794
5c7s5s2s,0.89,-14794
7c7s5s2s,1,-21268
9d9s5s2s,0.055,-18818
9c9s5s2s,0.055,-18818
ThTs5s2s,1,9884
TdTs5s2s,1,8082
TcTs5s2s,1,8082
