AhAs3s2s,1,177479
AdAs3s2s,0.985,176544
AcAs3s2s,0.985,176544
Ah4h3s2s,0.1938,130119
Ah5h3s2s,0.61,128975
AhTh3s2s,1,127893
AdTd3s2s,0.565,129565
AdJd3s2s,0.03,129217
AcTc3s2s,0.565,129565
AcJc3s2s,0.03,129217
Ah3h4s2s,0.0008,136313
5h4h4s2s,1,122859
6h5h4s2s,0.7326,125582
Ah5h4s2s,1,126019
AhTh4s2s,1,124534
AhJh4s2s,1,123306
Ad3d4s2s,0.05,129494
5d4d4s2s,1,126058
6d5d4s2s,0.2822,128484
Ad5d4s2s,1,128306
AdTd4s2s,0.395,125515
Ac3c4s2s,0.05,129494
5c4c4s2s,1,126058
Ac5c4s2s,1,128306
AcTc4s2s,0.395,125515
AhAs5s2s,0.75,175733
AdAs5s2s,1,174722
AcAs5s2s,1,174722
Ah3h5s2s,0.435,125407
5h4h5s2s,0.99,122172
6h4h5s2s,0.43,124838
Ah4h5s2s,1,125090
6h5h5s2s,1,124738
Ah5h5s2s,0.115,125130
8h6h5s2s,1,125353
Ah7h5s2s,0.025,127029
AhTh5s2s,0.23,123931
AhJh5s2s,1,122782
Ad3d5s2s,1,127783
5d4d5s2s,0.99,125654
6d4d5s2s,0.765,127980
Ad4d5s2s,1,127483
6d5d5s2s,1,127492
8d6d5s2s,1,127389
Ac3c5s2s,1,127783
5c4c5s2s,0.99,125654
Ac4c5s2s,1,127483
8h5h6s2s,1,144046
8d5d6s2s,0.88,145447
8c5c6s2s,0.88,145447
6h5h7s2s,0.0012,141868
Ah5h7s2s,1,140598
Ah7h7s2s,1,142847
Ah8h7s2s,1,141310
Ah9h7s2s,1,143731
AhTh7s2s,1,141174
AhJh7s2s,1,139427
Ad8d7s2s,0.005,141987
Ad9d7s2s,0.615,144449
AdTd7s2s,1,141151
AdJd7s2s,0.01,140085
Ac7c7s2s,0.62,144268
Ac8c7s2s,0.005,141987
Ac9c7s2s,0.615,144449
AcTc7s2s,1,141151
AcJc7s2s,0.01,140085
JhJs9s2s,0.97,167420
JdJs9s2s,0.97,167103
JcJs9s2s,0.97,167103
TdAs9s2s,0.023,175775
TcAs9s2s,0.023,175775
Ah5h9s2s,1,150565
9h7h9s2s,0.0216,150633
Ah7h9s2s,1,152958
9h8h9s2s,1,151426
Th8h9s2s,1,150005
Jh8h9s2s,0.92,148381
Ah8h9s2s,1,150537
Th9h9s2s,0.785,152222
Jh9h9s2s,0.88,151555
Ah9h9s2s,1,153414
AhTh9s2s,1,151357
TdTh9s2s,0.004,151145
TcTh9s2s,0.004,151145
AhJh9s2s,1,150342
JdJh9s2s,0.95,148654
JcJh9s2s,0.95,148654
Ad5d9s2s,1,151624
9d8d9s2s,1,152640
Td8d9s2s,1,150589
Jd8d9s2s,0.138,149545
Ad8d9s2s,1,151682
Ad9d9s2s,1,154331
AdTd9s2s,1,151781
AdJd9s2s,1,150927
JcJd9s2s,1,149086
Ac5c9s2s,1,151624
9c7c9s2s,0.031,155112
Ac7c9s2s,1,153589
9c8c9s2s,1,152640
Tc8c9s2s,1,150589
Jc8c9s2s,0.138,149545
Ac8c9s2s,1,151682
Ac9c9s2s,1,154331
AcTc9s2s,1,151781
AcJc9s2s,1,150927
Ah3hTs2s,1,169086
Ah4hTs2s,0.565,168801
Ah5hTs2s,1,168163
Ah7hTs2s,1,170167
9h8hTs2s,1,168487
Th8hTs2s,1,167078
